RUN LOG · one row per iteration (same columns as kit/loop.sh),,,,,,,,,,,,
,,,,,,,,,,,,
iteration,started_at,action,check_result,stop_reason,tokens_in,tokens_out,diff_lines,note,cost ($),,SUMMARY (rows 4-503),
1,2026-09-20T02:00:04Z,agent,fail,,21044,1893,14,"FAIL: test_refund_rounding expected 10.01, got 10.00","=IF(AND(ISNUMBER(F4),ISNUMBER(G4)),(F4*IF(ISNUMBER('CALC-3 Budget'!$D$7),'CALC-3 Budget'!$D$7,'CALC-3 Budget'!$C$7)+G4*IF(ISNUMBER('CALC-3 Budget'!$D$8),'CALC-3 Budget'!$D$8,'CALC-3 Budget'!$C$8))/1000000,"""")",,Runs (rows with a stop_reason),=COUNTA(E4:E503)
2,2026-09-20T02:03:11Z,agent,fail,,22318,2210,9,"FAIL: test_tax_totals expected 3.15, got 3.14","=IF(AND(ISNUMBER(F5),ISNUMBER(G5)),(F5*IF(ISNUMBER('CALC-3 Budget'!$D$7),'CALC-3 Budget'!$D$7,'CALC-3 Budget'!$C$7)+G5*IF(ISNUMBER('CALC-3 Budget'!$D$8),'CALC-3 Budget'!$D$8,'CALC-3 Budget'!$C$8))/1000000,"""")",,Successful runs (DONE),"=COUNTIF(E4:E503,""DONE"")"
3,2026-09-20T02:06:40Z,agent,pass,DONE,22901,1650,6,"12 passed, 0 failed","=IF(AND(ISNUMBER(F6),ISNUMBER(G6)),(F6*IF(ISNUMBER('CALC-3 Budget'!$D$7),'CALC-3 Budget'!$D$7,'CALC-3 Budget'!$C$7)+G6*IF(ISNUMBER('CALC-3 Budget'!$D$8),'CALC-3 Budget'!$D$8,'CALC-3 Budget'!$C$8))/1000000,"""")",,Iterations used (not skipped),"=COUNTIFS(A4:A503,"">0"",D4:D503,""<>skipped"")"
,,,,,,,,,"=IF(AND(ISNUMBER(F7),ISNUMBER(G7)),(F7*IF(ISNUMBER('CALC-3 Budget'!$D$7),'CALC-3 Budget'!$D$7,'CALC-3 Budget'!$C$7)+G7*IF(ISNUMBER('CALC-3 Budget'!$D$8),'CALC-3 Budget'!$D$8,'CALC-3 Budget'!$C$8))/1000000,"""")",,Success rate,"=IF(M4>0,M5/M4,"""")"
,,,,,,,,,"=IF(AND(ISNUMBER(F8),ISNUMBER(G8)),(F8*IF(ISNUMBER('CALC-3 Budget'!$D$7),'CALC-3 Budget'!$D$7,'CALC-3 Budget'!$C$7)+G8*IF(ISNUMBER('CALC-3 Budget'!$D$8),'CALC-3 Budget'!$D$8,'CALC-3 Budget'!$C$8))/1000000,"""")",,Iterations per success,"=IF(M5>0,M6/M5,"""")"
,,,,,,,,,"=IF(AND(ISNUMBER(F9),ISNUMBER(G9)),(F9*IF(ISNUMBER('CALC-3 Budget'!$D$7),'CALC-3 Budget'!$D$7,'CALC-3 Budget'!$C$7)+G9*IF(ISNUMBER('CALC-3 Budget'!$D$8),'CALC-3 Budget'!$D$8,'CALC-3 Budget'!$C$8))/1000000,"""")",,Total cost ($),=SUM(J4:J503)
,,,,,,,,,"=IF(AND(ISNUMBER(F10),ISNUMBER(G10)),(F10*IF(ISNUMBER('CALC-3 Budget'!$D$7),'CALC-3 Budget'!$D$7,'CALC-3 Budget'!$C$7)+G10*IF(ISNUMBER('CALC-3 Budget'!$D$8),'CALC-3 Budget'!$D$8,'CALC-3 Budget'!$C$8))/1000000,"""")",,Cost per success ($),"=IF(M5>0,M9/M5,"""")"
,,,,,,,,,"=IF(AND(ISNUMBER(F11),ISNUMBER(G11)),(F11*IF(ISNUMBER('CALC-3 Budget'!$D$7),'CALC-3 Budget'!$D$7,'CALC-3 Budget'!$C$7)+G11*IF(ISNUMBER('CALC-3 Budget'!$D$8),'CALC-3 Budget'!$D$8,'CALC-3 Budget'!$C$8))/1000000,"""")",,Prices in use,"=IF(AND(ISNUMBER('CALC-3 Budget'!D7),ISNUMBER('CALC-3 Budget'!D8)),""yours"",""INVENTED example prices"")"
,,,,,,,,,"=IF(AND(ISNUMBER(F12),ISNUMBER(G12)),(F12*IF(ISNUMBER('CALC-3 Budget'!$D$7),'CALC-3 Budget'!$D$7,'CALC-3 Budget'!$C$7)+G12*IF(ISNUMBER('CALC-3 Budget'!$D$8),'CALC-3 Budget'!$D$8,'CALC-3 Budget'!$C$8))/1000000,"""")",,,
,,,,,,,,,"=IF(AND(ISNUMBER(F13),ISNUMBER(G13)),(F13*IF(ISNUMBER('CALC-3 Budget'!$D$7),'CALC-3 Budget'!$D$7,'CALC-3 Budget'!$C$7)+G13*IF(ISNUMBER('CALC-3 Budget'!$D$8),'CALC-3 Budget'!$D$8,'CALC-3 Budget'!$C$8))/1000000,"""")",,"Rows 4-6 are the example from Level 5 (EX-5.1). Delete them and paste your own loop-log.csv rows. Cost uses your CALC-3 prices when filled, otherwise the invented example prices.",
,,,,,,,,,"=IF(AND(ISNUMBER(F14),ISNUMBER(G14)),(F14*IF(ISNUMBER('CALC-3 Budget'!$D$7),'CALC-3 Budget'!$D$7,'CALC-3 Budget'!$C$7)+G14*IF(ISNUMBER('CALC-3 Budget'!$D$8),'CALC-3 Budget'!$D$8,'CALC-3 Budget'!$C$8))/1000000,"""")",,,
,,,,,,,,,"=IF(AND(ISNUMBER(F15),ISNUMBER(G15)),(F15*IF(ISNUMBER('CALC-3 Budget'!$D$7),'CALC-3 Budget'!$D$7,'CALC-3 Budget'!$C$7)+G15*IF(ISNUMBER('CALC-3 Budget'!$D$8),'CALC-3 Budget'!$D$8,'CALC-3 Budget'!$C$8))/1000000,"""")",,,
,,,,,,,,,"=IF(AND(ISNUMBER(F16),ISNUMBER(G16)),(F16*IF(ISNUMBER('CALC-3 Budget'!$D$7),'CALC-3 Budget'!$D$7,'CALC-3 Budget'!$C$7)+G16*IF(ISNUMBER('CALC-3 Budget'!$D$8),'CALC-3 Budget'!$D$8,'CALC-3 Budget'!$C$8))/1000000,"""")",,,
